Time,C1 True RMS (?),C1 AC RMS (?),Position,Strain
16.8,0.575565648,0.575539577,4.250602901,0.115844944
16.9,0.653748123,0.65371797,4.237905941,0.112511808
17,0.588670397,0.588641419,4.225209284,0.109178751
17.1,0.6718047,0.671745931,4.212512324,0.105845615
17.2,0.734274827,0.734229817,4.199815364,0.102512479
17.3,1.175497102,1.175349287,4.187118707,0.099179422
17.4,1.042608469,1.042567422,4.174421747,0.095846286
17.5,0.63406637,0.63405731,4.161724788,0.09251315
17.6,0.872386861,0.872356345,4.149028131,0.089180093
17.7,1.016600633,1.016545544,4.136331171,0.085846957
17.8,0.823449014,0.823418804,4.123634211,0.08251382
17.9,0.883984107,0.883959015,4.110937554,0.079180764
18,1.09825133,1.098204871,4.098245439,0.075848899
18.1,0.609644891,0.609631691,4.08572864,0.072563058
18.2,0.700953896,0.700941581,4.072802164,0.06916967
18.3,0.54752259,0.547499965,4.060256297,0.065876198
18.4,0.631706686,0.6316942,4.047616565,0.062558085
18.5,0.690417917,0.690371424,4.034644973,0.059152854
18.6,0.908658887,0.908636655,4.022204175,0.055886964
18.7,1.078702981,1.078702208,4.009356122,0.052514164
18.8,0.621154915,0.62112944,3.996693681,0.049190089
18.9,0.711791473,0.711789897,3.984148117,0.045896697
19,0.9245173,0.924490956,3.971300064,0.042523896
19.1,1.042113744,1.042112691,3.958485015,0.03915976
19.2,0.660822015,0.660790517,3.945939451,0.035866367
19.3,0.950285713,0.950282686,3.933340293,0.032558906
19.4,0.771517606,0.77150968,3.920643636,0.029225849
19.5,0.592424291,0.592412744,3.907897321,0.025879756
19.6,0.613630729,0.613607259,3.895049268,0.022506956
19.7,0.64215041,0.642126322,3.882404086,0.019187412
19.8,0.700817034,0.700772397,3.869858522,0.015894019
19.9,0.646698533,0.646675299,3.856945066,0.01250405
20,1.010004948,1.009928449,3.844373462,0.009203821
20.1,0.645557809,0.645552023,3.831699514,0.005876726
20.2,0.733397164,0.73339142,3.818891127,0.002514339
20.3,0.903495631,0.90345358,3.808039985,-0.000334244
20.4,0.738856532,0.738851353,3.808218329,-0.000287426
20.5,0.636284417,0.636261992,3.808446937,-0.000227413
20.6,1.028904137,1.028894935,3.808446937,-0.000227413
20.6,0.963319517,0.963288674,3.808446937,-0.000227413
20.7,1.008518675,1.008514628,3.809722598,0.000107467
20.8,1.431091662,1.431090474,3.813624976,0.001131898
20.9,0.584671101,0.584646553,3.818136873,0.002316336
21,0.696745357,0.696717003,3.82410974,0.0038843
21.1,0.762968179,0.762948427,3.83136281,0.005788336
21.2,0.856792191,0.856790996,3.839595714,0.007949593
21.3,0.421423532,0.421396298,3.848559253,0.010302652
21.4,0.367047564,0.367023344,3.858118686,0.012812142
21.5,0.473134671,0.473076686,3.868073868,0.015425522
21.6,0.611441467,0.611425163,3.878374536,0.018129597
21.7,0.676203566,0.676190107,3.888253414,0.020722946
21.8,0.721796385,0.721791391,3.897648734,0.023189353
21.9,0.978267855,0.978212261,3.906669501,0.025557436
22,0.663528368,0.663504368,3.914807631,0.027693813
22.1,0.497835389,0.497810327,3.921842388,0.029540539
22.2,0.513886223,0.51386074,3.927619046,0.031056995
22.3,0.610605954,0.610594064,3.932058879,0.032222516
22.4,0.787455119,0.78741891,3.935033201,0.033003318
22.5,0.970493063,0.970491304,3.936530203,0.033396303
22.6,0.471197478,0.471184506,3.936541406,0.033399244
22.7,0.519892887,0.519854007,3.93484547,0.032954036
