#Digilent WaveForms Logger,,,,,,
#Device Name: Discovery2NI,,,,,,
#Serial Number: SN:210321AD0E05,,,,,,
#Date Time: 2020-04-07 14:51:14.905,,,,,,
,,,,,,
Time (s),C1 DC (V),C1 True RMS (Ṽ),C1 AC RMS (Ṽ),C2 DC (V),C2 True RMS (Ṽ),C2 AC RMS (Ṽ)
8.6,-0.001061615,0.002090161,0.001800485,0.068810538,0.069287286,0.008114052
8.7,-0.000991799,0.001997205,0.001733541,0.067186774,0.069968448,0.019532568
8.8,-0.00110151,0.00205199,0.001731283,0.064988678,0.065655119,0.009330938
8.9,-0.00091473,0.00200178,0.001780559,0.060182773,0.061690326,0.013554706
9,-0.000678081,0.001930922,0.001807945,0.056289579,0.057055255,0.00931587
9.1,-0.000260547,0.001905267,0.001887368,0.069720048,0.070486959,0.01036949
9.2,-0.00063456,0.001944464,0.001838009,0.087443822,0.087957947,0.009496232
9.3,-0.001131431,0.002044416,0.001702792,0.101061771,0.102261229,0.015616571
9.4,-0.000616879,0.001961775,0.001862263,0.117545887,0.118925142,0.018059729
9.5,-0.001173592,0.002083289,0.001721271,0.130885359,0.131971415,0.016896069
9.6,-0.001166792,0.00212663,0.001777962,0.146748045,0.147797523,0.017581779
9.7,-0.001163165,0.002119994,0.001772406,0.165216712,0.165764455,0.0134645
9.8,-0.001198526,0.002130165,0.001761004,0.179786696,0.180321139,0.013872882
9.9,-0.001236154,0.002195893,0.001814902,0.196095221,0.196271967,0.008327645
10,-0.00063864,0.001980743,0.001874962,0.213871581,0.21401377,0.007800046
10.1,-0.000685788,0.001990733,0.00186888,0.235594178,0.235778944,0.009332389
10.2,-0.00054389,0.001985424,0.001909475,0.255374294,0.255592198,0.010551861
10.3,-0.001049374,0.002188638,0.001920664,0.278695964,0.27914891,0.015895701
10.4,-0.001271062,0.002296276,0.001912403,0.300349057,0.300518606,0.010093388
10.5,-0.001683157,0.00266305,0.002063691,0.331276494,0.331500094,0.012173621
10.6,-0.001407067,0.002532865,0.002106079,0.367355988,0.36756856,0.012498975
