Time,Position,Strain,
131.708,0.301736321,,
131.749,0.298157897,,
131.79,0.294520673,,
131.831,0.290932235,,
131.872,0.287343975,,
131.913,0.283777204,,
131.954,0.280197081,,
131.995,0.27660906,,
132.036,0.272993144,,
132.077,0.269408968,,
132.118,0.265809801,,
132.131,0.26497027,,
132.136,0.264935341,,
132.177,0.265079018,,
132.218,0.265078452,,
132.259,0.265139755,,
132.3,0.265147325,,
132.341,0.265145984,,
132.382,0.26516917,,
132.423,0.265201744,,
132.464,0.265182194,,
132.505,0.265258786,,
132.546,0.265223738,,
132.587,0.265221891,,
132.628,0.265252527,,
132.669,0.265251872,,
132.71,0.265261587,,
132.751,0.265259263,,
132.792,0.265315291,,
132.833,0.265280482,,
132.874,0.265271392,,
132.915,0.265304085,,
132.956,0.265283164,,
132.997,0.26534858,,
133.038,0.265314278,,
133.079,0.265298036,,
133.118,0.26534411,,
133.159,0.265449193,,
133.188,0.265489575,,
133.201,0.265483317,,
133.242,0.265457031,,
133.252,0.265463289,,
133.261,0.265453425,,
133.293,0.26546317,,
133.303,0.265441981,,
133.336,0.265496161,,
133.344,0.265515444,,
133.381,0.265446988,,
133.419,0.265487429,,
133.419,0.265487429,,
133.498,0.272269037,,
133.555,0.277805087,,
133.6,0.282214817,,
133.645,0.28659245,,
133.703,0.292244192,,
133.753,0.29710066,,
133.798,0.301458981,,
133.843,0.305846598,,
133.888,0.310202446,,
133.933,0.314596888,,
133.978,0.318942931,,
134.053,0.326270517,,
134.098,0.330583986,,
134.143,0.334987666,,
134.188,0.339317914,,
134.233,0.343733456,,
134.278,0.348095473,,
134.323,0.352477755,,
134.368,0.356846179,,
134.413,0.361197497,,
134.458,0.365558471,,
134.503,0.369937326,,
134.548,0.374322648,,
134.593,0.378649499,,
134.638,0.383021559,,
134.683,0.387366767,,
134.73,0.391905124,,
134.775,0.396307851,,
134.82,0.400631483,,
134.895,0.407914157,,
134.917,0.410009111,,
134.928,0.410944785,,
134.935,0.410606737,,
134.98,0.406021352,,
135.024,0.401661034,,
135.069,0.397252972,,
135.114,0.392830904,,
135.159,0.388480927,,
135.204,0.384087975,,
135.249,0.37966537,,
135.294,0.3752768,,
135.339,0.370950218,,
135.384,0.36650538,,
135.429,0.362156744,,
135.433,0.361757632,,
135.478,0.357358988,,
135.523,0.352954234,,
135.568,0.348612364,,
135.613,0.34422132,,
135.658,0.339865621,,
135.703,0.33544686,,
