"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(Linear Waveform)","Total Cycle Count(Rotary Waveform)","Position(Linear:Position) (in)","Force(Linear:Load) (lb)","Rotation(Rotary:Rotation) (deg)","Torque(Rotary:Torque) (N·m)","Force(Linear:External Load Cell) (lbf)",
0.405,0.405,1,1,1,0,0,0.340964134480708,0.242162491598367,-0.000213654711842537,-0.11955298001521,0.542222684628279,
0.415,0.415,1,1,1,0,0,0.340935852077096,1.37982887586458,0.000222036615014076,-0.0942494091235599,0.543272895263564,
0.425,0.425,1,1,1,0,0,0.340896214988788,-0.0222958620447078,0.000410713255405426,-0.133473258608201,0.542388926457214,
0.443,0.443,1,1,1,0,0,0.34086477353904,0.12427568217401,0.000558276660740376,-0.124553294768698,0.53799385571762,
0.453,0.453,1,1,1,0,0,0.340879764107024,0.122431663508658,0.000318889506161213,-0.114730496320927,0.535784655479994,
0.463,0.463,1,1,1,0,0,0.340866859701583,1.12725419806489,0.000208960846066475,-0.0940768393382965,0.537228584508456,
0.473,0.473,1,1,1,0,0,0.340875442770329,-0.583138306627958,0.000356188975274563,-0.140686465181256,0.538955636875833,
0.492,0.492,1,1,1,0,0,0.340871836689363,1.15802509538975,0.000609070993959904,-0.0793326452461516,0.541828919668763,
0.502,0.502,1,1,1,0,0,0.340879346874516,0.223387028823876,0.000241650268435478,-0.102258120316488,0.538739941595265,
0.512,0.512,1,1,1,0,0,0.340872462538126,0.851415082759893,0.000238842330873013,-0.106070439414108,0.538517866726304,
0.522,0.522,1,1,1,0,0,0.340860780027888,0.862795844421811,0.00021906103938818,-0.114064419040002,0.537128234048693,
0.532,0.532,1,1,1,0,0,0.340808625964325,-0.244490797994013,-7.15814530849457E-05,-0.149773737532082,0.535975158371359,
0.542,0.542,1,1,1,0,0,0.340769882945679,1.37945634684128,0.000361301936209202,-0.103660775949148,0.53700739439993,
0.552,0.552,1,1,1,0,0,0.340754951982339,0.440981231335385,0.00049905851483345,-0.148982441931361,0.536091015421888,
0.562,0.562,1,1,1,0,0,0.340726639776405,0.0436976544334874,0.000176019966602325,-0.119587704423221,0.536486689601289,
0.572,0.572,1,1,1,0,0,0.34072714641588,0.873319789330132,0.000129877589643002,-0.101970854759312,0.536576096971472,
0.582,0.582,1,1,1,0,0,0.340679969340097,1.0026991191234,-2.43913382291794E-05,-0.111253846500741,0.540080120821244,
0.592,0.592,1,1,1,0,0,0.340646531134773,-0.47720967885164,0.000491766259074211,-0.11593322354383,0.539084765332874,
0.602,0.602,1,1,1,0,0,0.34060594037216,0.969767553463379,0.000368133187294006,-0.075907555910587,0.541160553010304,
0.612,0.612,1,1,1,0,0,0.340572770387735,0.766143189325747,-8.10949131846428E-05,-0.0859166034558683,0.539365839752888,
0.622,0.622,1,1,1,0,0,0.340553994924852,-0.105351207790198,0.000379071570932865,-0.149650623721863,0.534578307911259,
0.632,0.632,1,1,1,0,0,0.340496238024747,0.868849441050491,0.000290097668766975,-0.14319293608673,0.532341633533838,
0.642,0.642,1,1,1,0,0,0.340473707469288,0.220816578563083,0.00114224385470152,-0.0964959730963496,0.530251503424107,
0.652,0.652,1,1,1,0,0,0.340472574981051,-0.411439679787427,8.75908881425858E-05,-0.150871239276166,0.530310968638547,
0.662,0.662,1,1,1,0,0,0.340422238859132,0.583976496930391,1.60094350576401E-05,-0.101899301433715,0.53248710677574,
0.672,0.672,1,1,1,0,0,0.340415771755251,0.683180975836083,0.000479696318507195,-0.135748233460272,0.533107323840049,
0.682,0.682,1,1,1,0,0,0.340402450117301,0.138990578594494,0.000585014931857586,-0.148096443399704,0.53385285092163,
0.692,0.692,1,1,1,0,0,0.340391780886012,0.562779595504428,0.000435817055404186,-0.108411706317835,0.534431204847504,
0.702,0.702,1,1,1,0,0,0.340367104563366,0.372268252987075,0.000401786528527737,-0.0868552147269355,0.533063365216376,
0.712,0.712,1,1,1,0,0,0.340338851962076,-0.340510153750462,-0.000197729095816612,-0.147356708283605,0.532537957217532,
0.722,0.722,1,1,1,0,0,0.34029644325782,0.469721845483242,0.000744480639696121,-0.120395836100552,0.534111620065437,
